Object Number,Is Public Domain,Object ID,Gallery Number,Department,AccessionYear,Object Name,Title,Culture,Reign,Portfolio,Constiuent ID,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Nationality,Artist Begin Date,Artist End Date,Object Begin Date,Object End Date,Medium,Credit Line,Geography Type,City,State,County,Country,Classification
17.190.1707,TRUE,464115,301,Medieval Art,1917,Bucket,Silver Bucket,Byzantine,,,,,,,,,,,,600,699,Silver,"Gift of J. Pierpont Morgan, 1917",Made in,Tirana,,,Albania,Metalwork-Silver
26.101.6,TRUE,466626,305,Medieval Art,1926,Relief statue,"The Virgin Supported by Saint John, from a Crucifixion Group",South Netherlandish,,,,,,,,,,,,1340,1350,"Marble, traces of gilding","Gift of Archer M. Huntington, in memory of his father, Collis Potter Huntington, 1926",Made in,Huy,,Meuse Valley,Belgium,Sculpture-Stone
67.155.23,TRUE,468720,16,Medieval Art,1967,Reliquary bust,Reliquary Bust of Saint Balbina,South Netherlandish,,,,,,,,,,,,1517,1533,"Oak, paint, gilt","Bequest of Susan Vanderpoel Clark, 1967",Made in,possibly Brussels,,,Belgium,Sculpture-Wood
49.109,TRUE,471349,,The Cloisters,1949,Polyptych,The Nativity,South Netherlandish,,,162329,Artist,Workshop of,Rogier van der Weyden,"Netherlandish, Tournai ca. 1399–1464 Brussels",,Netherlandish,1399,1464,1440,1460,Tempera and oil on wood,"The Cloisters Collection, 1949",Made in,Brussels,,,Belgium,Paintings-Panels
59.7,TRUE,471844,16,The Cloisters,1959,Reliquary bust,Reliquary Bust of a Female Saint,South Netherlandish,,,,,,,,,,,,1517,1533,"Oak, paint, gilt","The Cloisters Collection, 1959",Made in,possibly Brussels,,,Belgium,Sculpture-Wood
89.4.897,TRUE,501508,,Musical Instruments,1889,Clarinet in A,Clarinet in A,Belgian,,,155076,Maker,Probably by,Louis Auguste Giboreau,"Belgian, Dreux 1820–1873 Liège",,Belgian,1820,1873,1801,1900,"Boxwood, brass, ivory, ebony","The Crosby Brown Collection of Musical Instruments, 1889",,Liege,,,Belgium,Aerophone-Reed Vibrated-single reed cylindrical
89.2.168,TRUE,501633,,Musical Instruments,1889,Guitar,Guitar,Belgian,,,155087,Maker,,Guillaume Joseph Lekeu,"Belgian, Namur active late 18th century",,Belgian,1767,1800,1770,1770,Various woods,"Gift of Joseph W. Drexel, 1889",,,,,Belgium,Chordophone-Lute-plucked-fretted
89.4.1099,TRUE,501677,,Musical Instruments,1889,Keyed Bugle in B-flat,Keyed Bugle in B-flat,Belgian,,,155000,Maker,,C. Devaster,"Belgian, Brussels active early 19th century",,Belgian,1800,1850,1820,1840,"Copper, brass","The Crosby Brown Collection of Musical Instruments, 1889",,Brussels,,,Belgium,Aerophone-Lip Vibrated-trumpet / trombone
89.4.1591,FALSE,502155,,Musical Instruments,1889,Mass Bell,Mass Bell,Flemish,,,,,,,,,,,,1801,1900,Metal,"The Crosby Brown Collection of Musical Instruments, 1889",,,,Flanders,Belgium,Idiophone-Struck-bell-clapper
89.4.1592,FALSE,502156,,Musical Instruments,1889,Mass Bell,Mass Bell,Flemish,,,,,,,,,,,,1801,1900,Metal,"The Crosby Brown Collection of Musical Instruments, 1889",,,,Flanders,Belgium,Idiophone-Struck-bell-clapper
89.4.1632,TRUE,502195,,Musical Instruments,1889,Flageolet in F-sharp,Flageolet in F-sharp,Belgium,,,,,,,,,,,,1701,1800,"Wood, ivory, brass","The Crosby Brown Collection of Musical Instruments, 1889",,,,,Belgium,Aerophone-Whistle Flute-flageolet
89.4.1638,FALSE,502201,,Musical Instruments,1889,Mass Bell,Mass Bell,Belgium,,,,,,,,,,,,1801,1900,Brass,"The Crosby Brown Collection of Musical Instruments, 1889",,,,,Belgium,Idiophone-Struck-bell-clapper
89.4.1639,FALSE,502202,,Musical Instruments,1889,Mass Bell,Mass Bell,Belgium,,,,,,,,,,,,1801,1900,Metal,"The Crosby Brown Collection of Musical Instruments, 1889",,,,Flanders,Belgium,Idiophone-Struck-bell-clapper
89.4.1640,FALSE,502203,,Musical Instruments,1889,Mass Bell,Mass Bell,Belgium,,,,,,,,,,,,1801,1900,Metal,"The Crosby Brown Collection of Musical Instruments, 1889",,,,Flanders,Belgium,Idiophone-Struck-bell-clapper
53.223,TRUE,503669,684,Musical Instruments,1953,Clarinet in B-flat,Clarinet in B-flat,Belgian,,,155482,Maker,,Charles Joseph Sax,"Belgian, Dinant, Belgium 1790–1865 Paris",,Belgian,1790-02-01,1865-04-26,1800,1850,"Ivory, brass, gold-plated silver","Funds from various donors, 1953",,Brussels,,,Belgium,Aerophone-Reed Vibrated-single reed cylindrical
