Age,Gender,Income,CountryLive
21,male,13000,United States of America
26,male,24000,Brazil
29,female,40000,United Kingdom
23,female,30000,United States of America
20,male,20000,United States of America
18,male,10000,United States of America
32,male,20000,United States of America
29,male,60000,United States of America
46,female,76000,United States of America
31,male,34000,United States of America
23,female,11000,United States of America
27,female,46700,United Kingdom
26,male,40000,Canada
29,male,20000,Romania
30,female,18000,United States of America
19,male,12000,United States of America
27,male,14000,Italy
29,male,41000,United States of America
27,male,40000,United States of America
30,female,60000,United States of America
23,female,10000,United States of America
37,male,60000,United States of America
26,male,17000,Brazil
30,male,35000,United States of America
22,male,15000,Colombia
28,male,80000,Mexico
23,male,6000,India
28,male,24000,Peru
30,male,12000,Cambodia
28,male,6511,Argentina
17,male,6000,Canada
23,male,37000,United States of America
37,male,180000,Kyrgyzstan
25,male,7500,India
31,male,25000,United States of America
22,male,30000,United States of America
31,male,12000,United States of America
48,male,55000,United States of America
25,male,8000,Philippines
33,male,40000,United States of America
25,male,10000,New Zealand
30,male,70000,Canada
26,male,13000,India
25,male,6000,India
43,male,39000,Germany
26,male,7463,India
28,male,20000,United States of America
23,male,7000,Russia
26,male,20000,Canada
26,male,10000,India
28,female,56000,Romania
32,male,72000,United States of America
28,genderqueer,20000,Germany
26,male,10000,Lithuania
30,male,25000,South Africa
28,male,30000,Finland
35,male,50000,Germany
26,male,40000,Australia
26,male,15000,India
32,male,10000,Romania
32,male,50000,Italy
36,male,10000,Italy
29,male,30000,France
25,male,18000,Czech Republic
28,male,6000,Egypt
41,male,20000,Turkey
22,male,7500,Canada
28,male,19000,United Kingdom
33,male,65000,Norway
23,male,23882,Sweden
23,male,26000,United Kingdom
37,male,30000,Austria
24,male,20000,Poland
29,female,30000,Italy
24,male,45000,India
25,male,13000,Spain
21,male,16000,Poland
18,male,50000,Belgium
31,male,40000,China
23,male,21000,Ireland
26,male,10000,"Netherlands (Holland, Europe)"
27,male,35000,United Kingdom
28,male,40000,United Kingdom
19,trans,22000,United Kingdom
34,male,25000,United Kingdom
28,male,6000,India
27,male,15000,Poland
30,male,29000,Italy
28,male,20000,Ireland
24,male,15000,United Kingdom
24,male,15000,United Kingdom
34,male,7200,United Kingdom
30,male,50000,Belgium
24,agender,21875,United Kingdom
24,male,30000,United Kingdom
33,male,15000,South Africa
26,female,6000,Portugal
30,male,40000,Czech Republic
18,male,6500,New Caledonia
35,male,25000,Poland
32,male,12000,France
25,male,7200,Macedonia
32,male,10486,India
30,female,32000,Germany
41,male,60000,Brazil
27,male,65000,United Kingdom
24,female,10000,Serbia
27,male,38000,United Kingdom
30,male,14000,Russia
22,male,22000,United States of America
23,male,12000,Portugal
29,female,50000,United Kingdom
28,male,8000,Brazil
23,male,19000,United States of America
26,male,26000,Brazil
26,male,246212,Brazil
22,male,6335,France
39,male,30000,United Kingdom
22,male,26000,Israel
23,male,70000,United States of America
45,male,35000,United States of America
27,male,26750,United Kingdom
24,female,70000,Germany
23,male,52000,United States of America
33,female,45000,Sweden
25,male,63000,United States of America
34,male,40000,United States of America
23,female,47500,United States of America
33,male,90000,Sweden
33,male,60000,United States of America
38,male,93000,United States of America
36,male,18700,United Kingdom
28,male,61000,United States of America
32,male,62000,United States of America
19,female,20000,Canada
24,male,11000,United States of America
27,genderqueer,28000,Spain
29,male,32000,United States of America
25,male,10000,India
23,male,50000,United States of America
29,male,35000,Singapore
28,female,30000,United States of America
43,female,45000,United States of America
29,male,80000,United States of America
21,male,10000,Canada
24,female,40000,Canada
26,female,36000,United States of America
24,male,15000,United States of America
32,male,90000,United States of America
24,male,9000,India
20,male,6000,United States of America
26,male,65000,United States of America
23,female,6000,United States of America
43,male,62500,United States of America
32,male,44000,United States of America
18,female,6000,Canada
24,male,57000,United States of America
29,male,140000,United States of America
33,female,30000,Argentina
30,male,65000,United States of America
48,male,12000,United Kingdom
33,male,18000,United States of America
28,male,40000,Germany
26,male,31164,Israel
31,male,75000,United States of America
27,male,25000,United States of America
26,male,60000,United States of America
26,male,23000,United States of America
27,male,85000,United States of America
28,male,23000,Argentina
23,male,70000,United States of America
56,female,55000,United States of America
35,male,23500,Italy
25,female,28000,United States of America
27,male,68000,United States of America
27,female,20000,United States of America
24,female,31000,United States of America
29,male,40000,United States of America
25,male,40000,United States of America
35,male,45000,Sweden
41,female,40000,United States of America
25,male,55000,United States of America
26,female,72500,United States of America
25,male,57000,United States of America
32,female,50000,United States of America
23,male,52000,United States of America
26,male,70000,United States of America
29,male,35000,United States of America
27,male,64000,United States of America
23,male,60000,United States of America
29,male,50000,United States of America
39,male,25000,United States of America
29,male,58000,United States of America
25,male,18000,Dominican Republic
29,female,70000,United States of America
24,male,50000,United States of America
25,male,48000,United States of America
27,male,35000,United States of America
27,male,35000,United States of America
27,male,50000,United States of America
29,male,34000,United States of America
23,male,14000,United States of America
69,female,53000,United States of America
22,male,40000,United States of America
20,male,20000,United States of America
27,male,40000,United States of America
24,female,9000,United States of America
31,male,33000,United States of America
30,male,90000,United States of America
27,male,8000,Brazil
29,male,8000,Argentina
32,male,45000,United States of America
31,female,31000,United States of America
23,female,66000,United States of America
23,male,15000,Canada
25,male,30000,Great Britain
28,female,22000,United States of America
28,male,60000,United Kingdom
24,male,11000,United Kingdom
35,female,25000,United States of America
25,male,22000,United States of America
32,male,30000,United States of America
20,male,54000,United States of America
25,male,75000,United States of America
27,male,90000,United States of America
25,male,52500,United States of America
24,male,28000,United States of America
25,male,20000,United States of America
24,male,25000,United States of America
25,male,56000,United States of America
28,male,26000,United States of America
40,male,100000,United States of America
23,male,30000,United States of America
25,male,38000,United States of America
26,male,108000,United States of America
30,male,65000,United States of America
30,male,10000,Bosnia & Herzegovina
40,male,50000,United States of America
30,male,10000,Canada
26,male,36000,United States of America
23,male,90000,United States of America
22,male,10000,Canada
25,male,20000,Canada
23,male,18000,United Kingdom
30,male,45000,United States of America
23,male,25000,Canada
23,female,85000,United States of America
24,male,68000,United States of America
36,male,40000,United States of America
26,female,55000,United States of America
24,male,23000,United States of America
24,male,38000,United States of America
34,male,62000,Canada
29,male,18000,Mexico
30,female,32000,United States of America
27,male,60000,Romania
25,male,13000,United Kingdom
27,male,30000,Germany
28,male,27000,United States of America
28,female,40000,United States of America
29,male,43000,United States of America
32,male,61000,United States of America
21,male,8000,Argentina
27,male,80000,United States of America
39,female,42000,United States of America
30,male,55000,United States of America
28,male,22000,United States of America
28,female,73000,United States of America
26,male,80000,United States of America
27,male,10000,India
47,male,100000,United States of America
27,male,27000,United States of America
27,male,26000,United States of America
26,male,48000,Canada
27,female,50000,United States of America
35,male,42000,United States of America
33,male,11000,Argentina
33,male,40000,Spain
25,female,18000,United States of America
27,male,30000,United States of America
27,male,70000,United States of America
28,male,65000,Canada
29,male,55000,United States of America
23,female,26000,United States of America
31,male,40000,United States of America
31,male,58000,United States of America
32,male,40000,Canada
31,male,100000,United States of America
28,male,75000,United States of America
26,male,40000,United States of America
32,male,72000,United States of America
28,male,35000,United States of America
42,male,25000,United States of America
28,male,75000,United States of America
26,male,18000,India
29,female,28000,United States of America
34,female,20000,United States of America
25,male,10000,India
26,male,37000,Canada
30,female,24000,Serbia
28,female,40000,United States of America
24,male,35869,New Zealand
29,male,40000,United States of America
22,male,50000,India
32,male,30000,United States of America
32,male,50000,Canada
26,genderqueer,40000,United States of America
27,female,22000,United States of America
36,male,70000,Great Britain
24,male,10000,Mexico
29,male,60000,United States of America
33,female,65000,Iraq
23,male,40000,United States of America
27,male,30000,Ukraine
28,male,35000,United States of America
29,female,53000,United States of America
28,male,85000,United States of America
30,male,20000,Chile
26,male,13000,United States of America
36,female,44000,United States of America
59,male,50000,United Kingdom
20,male,14000,United States of America
27,female,20000,United States of America
29,male,43000,United States of America
22,male,10000,United States of America
34,male,15000,Portugal
31,male,10000,Macedonia
23,male,7800,Qatar
25,female,12000,Palestine
29,male,30000,United States of America
27,female,15000,Bulgaria
24,male,20000,India
32,male,35000,United States of America
28,male,40000,United States of America
22,male,20000,Canada
20,male,14000,Costa Rica
28,male,28000,Canada
50,male,56000,United States of America
25,female,10000,United States of America
33,female,57000,United States of America
25,female,18270,United Kingdom
27,male,11000,Russia
26,male,55000,Sweden
31,male,40000,United States of America
29,male,50000,Finland
29,male,42000,United States of America
24,female,43000,United States of America
23,male,34000,New Zealand
29,male,50000,United States of America
27,male,30000,Canada
26,male,40000,"Netherlands (Holland, Europe)"
40,female,6000,Romania
27,male,63000,United States of America
28,female,12000,United States of America
28,male,80000,United States of America
28,female,40000,United Kingdom
20,male,15000,United States of America
31,female,50000,Sweden
20,male,16000,United States of America
24,male,30000,United States of America
34,male,80000,United States of America
50,male,17000,Italy
26,male,40000,United States of America
32,male,20000,Canada
30,male,30000,United States of America
23,male,10000,United Kingdom
38,female,45000,United States of America
23,male,30000,United States of America
26,female,37000,United States of America
50,male,100000,United States of America
34,male,80000,New Zealand
28,male,43000,United States of America
24,male,10000,Poland
30,male,72000,United States of America
31,male,35000,Turkey
19,male,35000,United Kingdom
26,male,30000,United States of America
25,male,105000,United States of America
28,male,50000,Australia
26,male,44500,United States of America
32,genderqueer,45000,United States of America
23,male,70000,United States of America
23,male,22000,United Kingdom
29,male,150000,United Kingdom
32,male,50000,United States of America
24,male,35000,United States of America
42,male,40000,United States of America
19,male,8000,Spain
25,male,41300,New Zealand
30,agender,20000,United States of America
28,trans,16116,Brazil
24,female,78000,United States of America
27,male,32000,United Kingdom
33,male,96000,United States of America
34,male,20000,United Kingdom
34,male,70000,United States of America
25,male,30000,United Kingdom
27,female,8000,United States of America
27,male,20000,United States of America
23,female,20000,Canada
25,male,65000,Australia
24,female,30000,United States of America
19,male,90000,United States of America
33,female,86000,United States of America
29,male,125000,United States of America
21,male,40000,Australia
26,male,13000,Puerto Rico
26,female,86000,United States of America
34,male,65000,United States of America
26,female,58000,United States of America
28,female,71000,United States of America
40,male,60000,United States of America
27,male,30000,United States of America
22,agender,50000,Spain
22,male,30000,United States of America
35,male,15000,United States of America
26,female,40000,United States of America
30,male,10000,United States of America
23,male,20000,Japan
40,male,16828,New Zealand
28,female,12000,Finland
24,male,6000,Albania
26,male,20000,Romania
28,male,14000,Greece
25,male,125000,United States of America
