CountryLive,avg,count
Kyrgyzstan,180000,1
Haiti,104250,2
Benin,100000,1
Denmark,72667,22
Martinique,70000,1
Bermuda,70000,1
Cuba,66400,3
United Arab Emirates,66118,17
Iraq,65000,1
Azerbaijan,61000,4
Switzerland,60412,17
Kuwait,60000,1
Armenia,60000,1
Ghana,57567,8
Mongolia,56000,1
Saudi Arabia,54516,8
Norway,54029,26
Luxembourg,51500,6
Brunei,50000,1
Angola,50000,3
Singapore,49799,26
Australia,49201,127
United States of America,49183,3245
Vanuatu,48000,1
Cote D'Ivoire,48000,2
Malta,45000,3
Madagascar,44400,1
Guam,44000,3
Netherland Antilles,44000,2
Dominican Republic,43468,14
Belgium,43157,11
Nigeria,42708,78
Tanzania,42600,2
Germany,41423,128
Korea South,40667,18
Kazakhstan,40178,21
Indonesia,40085,40
Canada,38651,286
Hong Kong,38500,10
Sweden,37955,41
Ireland,37162,34
United Kingdom,36741,409
"Netherlands (Holland, Europe)",36616,58
New Zealand,36416,32
Malawi,36000,1
Moldova,35956,9
Venezuela,35243,21
Honduras,35000,1
Virgin Islands (USA),34857,7
Japan,34635,32
France,33632,90
Great Britain,33582,18
Israel,33260,33
Algeria,33040,5
Finland,32852,27
Egypt,32554,28
Greece,32414,48
Bangladesh,32145,18
Brazil,32100,174
Albania,31933,9
Republic of Montenegro,31750,4
Austria,31536,14
Morocco,30873,11
India,30775,418
Colombia,30762,32
Pakistan,30459,25
Iceland,30000,2
Sierra Leone,30000,1
Puerto Rico,29875,8
Iran,29873,5
Peru,29643,7
Serbia,29538,39
Cyprus,29500,4
Philippines,29077,49
Argentina,28917,64
Mexico,28715,85
Myanmar,28518,3
Nepal,28514,14
Spain,28424,103
Czech Republic,28271,35
Ukraine,27880,95
Belarus,27825,16
Bolivia,27500,2
Kenya,27337,28
Trinidad & Tobago,27333,3
Thailand,27117,12
Bosnia & Herzegovina,26756,11
Italy,26495,78
Paraguay,26126,4
Cameroon,26000,2
Cambodia,26000,3
South Africa,25878,61
Romania,25271,84
Nambia,25000,1
Vietnam,24963,19
China,24713,43
Chile,24539,17
Jamaica,24275,8
Hungary,24152,27
Russia,23746,112
Guatemala,23559,3
Qatar,22922,4
Slovenia,22400,10
Senegal,22000,2
Latvia,21836,11
Niger,21000,2
Georgia,20753,3
Republic of Serbia,20622,13
Poland,20559,109
Portugal,20429,28
Bulgaria,20057,20
Turkmenistan,20000,1
Swaziland,20000,2
Croatia,19922,28
Malaysia,19793,28
Gambia,19100,3
Ecuador,18967,6
Turkey,18937,57
Taiwan,18842,13
Sri Lanka,17999,3
Uruguay,17200,12
Maldives,17000,2
Lithuania,15773,22
Zambia,15000,1
Lebanon,15000,1
Macedonia,14933,12
Costa Rica,14760,5
Estonia,14346,13
Panama,13674,3
Palestine,13500,2
Dominica,12500,1
Tunisia,12500,4
Gabon,12000,1
Mauritius,12000,2
Slovakia,11500,6
Zimbabwe,11000,4
Uganda,10933,3
Nicaragua,10800,2
Papua New Guinea,10000,1
Somalia,10000,1
Liberia,9600,1
Belize,8112,1
Uzbekistan,8000,1
Burundi,8000,1
El Salvador,7500,2
British Indian Ocean Ter,6000,1
