company,female,male,white,asian,latino,black,multi,other,undeclared
U.S. Population,51,49,61,5.7,17.8,13.3,2.6,0.2,0
Facebook,35,65,49,40,5,3,3,1,0
Instagram,35,65,49,40,5,3,3,1,0
Google+,31,69,56,35,4,2,4,1,0
YouTube,31,69,56,35,4,2,4,1,0
LinkedIn,42,58,52,39,4,4,2,1,0
Pinterest,45,55,48,41,6,3,2,1,0
Tumblr,37,63,45,44,4,2,2,3,0
Flickr,37,63,45,44,4,2,2,3,0
Twitter,38,62,44,26,3,3,3,0,21
Yahoo!,37,63,45,44,4,2,2,3,0
Google,31,69,53,36,4,3,4,0,0
Apple,32,68,54,21,13,9,3,1,2
Cisco,24,76,53,37,5,4,1,1,0
eBay,40,60,50,39,6,3,1,1,0
HP,37,63,73,12,8,4,2,1,0
Indiegogo,50,50,58,28,7,4,0,3,0
Nvidia,17,83,37,45,3,1,14,1,0
Dell,28,72,69,9,11,10,0,1,0
Ingram Micro,31,69,52,14,19,14,1,0,0
Intel,27,74,48,39,9,4,0,1,0
Groupon,44,56,62,20,8,8,0,3,0
Amazon,39,61,48,13,13,21,0,5,0
Etsy ,54,46,79,10,4,3,4,1,0
Microsoft,26,74,56,31,6,4,2,1,0
Salesforce,31,69,65,24,4,3,3,0,2
Pandora,49,51,65,16,8,5,5,1,0
Uber,38,62,49,32,6,8,4,1,0
Slack,45,55,59,24,7,5,4,1,0
AirBnB ,41,59,50,36,7,3,3,1,0
Netflix,43,57,49,24,6,4,0,4,13
Yelp,54,46,62,15,10,6,5,2,0
total average,36,63,54,29,7,5,3,1,1
DiversityInc top 50,44,56,78,6,7,9,0,0,0
Fortune 500 CEOs,6,94,73,21,3,2,1,1,0
US Congress,20,80,80,3,7,9,0,1,0
