Object Number,Object ID,Department,AccessionYear,Object Name,Culture,Artist Display Name,Artist Nationality,Object Begin Date,Object End Date,Credit Line,Country,Classification
13.31.15,7411,The American Wing,1913.0,Shaving mug,China,E. & W. Bennett Pottery,,1850,1853,"Rogers Fund, 1913",United States,Ceramics
33.120.164,7457,The American Wing,1933.0,Buckle,China,,,1797,1800,"Bequest of Alphonso T. Clearwater, 1933",,Silver
2001.632,24976,Arms and Armor,2001.0,Element from a lacquered leather cuirass,"Yi or Nuosu, China (Yunnan or Sichuan)",,,701,1000,"Purchase, Bernice and Jerome Zwanger Gift, 2001",,Armor for Man
1999.26,26633,Arms and Armor,1999.0,Element from a lacquered leather cuirass,"Yi or Nuosu, China (Yunnan or Sichuan)",,,900,1400,"Purchase, Arthur Ochs Sulzberger Gift, 1999",,Armor for Man
96.14.1896,35967,Asian Art,1896.0,Panel,China,,,1650,1799,"Gift of Mr. and Mrs. H. O. Havemeyer, 1896",,Leatherwork
9.3,35968,Asian Art,1909.0,Wall hanging (map),China,Unidentified Artist,,1800,1899,"Gift of J. Pierpont Morgan, 1909",,Paintings
12.37.135,35969,Asian Art,1912.0,Hanging scroll,China,Jin Zunnian,Chinese,1732,1732,"Rogers Fund, 1912",,Paintings
13.100.22,35970,Asian Art,1913.0,Hanging scroll,China,Ding Yunpeng,Chinese,1585,1585,"John Stewart Kennedy Fund, 1913",,Paintings
13.100.25,35971,Asian Art,1913.0,Hanging scroll,China,Wang Hui|Unidentified Artist,Chinese,1700,1911,"John Stewart Kennedy Fund, 1913",,Paintings
13.100.40,35972,Asian Art,1913.0,Folding fan mounted as an album leaf,China,Wang Hui|Unidentified Artist,Chinese,1700,1911,"John Stewart Kennedy Fund, 1913",,Paintings
13.100.42,35973,Asian Art,1913.0,Folding fan mounted as an album leaf,China,Wang Jian|Unidentified Artist,Chinese,1700,1911,"John Stewart Kennedy Fund, 1913",,Paintings
13.100.43,35974,Asian Art,1913.0,Folding fan mounted as an album leaf,China,Wang Shimin|Unidentified Artist,Chinese,1700,1911,"John Stewart Kennedy Fund, 1913",,Paintings
13.100.45,35975,Asian Art,1913.0,Folding fan mounted as an album leaf,China,Wang Hui|Unidentified Artist,Chinese,1707,1911,"John Stewart Kennedy Fund, 1913",,Paintings
13.100.46,35976,Asian Art,1913.0,Folding fan mounted as an album leaf,China,Zha Shibiao|Unidentified Artist,,1700,1911,"John Stewart Kennedy Fund, 1913",,Calligraphy
13.100.47,35977,Asian Art,1913.0,Folding fan mounted as an album leaf,China,Dong Yuan|Lu Kezheng,Chinese,1591,1651,"John Stewart Kennedy Fund, 1913",,Paintings
