EllipseID,X,Y,Length,StrokeScale,Angle,color
1,227,258,3,2,-29.47089589832062,#D3CAC5
2,579,743,8,2,250.92585649619699,#B45860
3,301,75,3,2,63.41122947175988,#CABFB7
4,388,634,5,2,103.20713465764035,#CAA88F
5,930,16,2,2,81.46456871248283,#DCD3CD
6,906,161,3,2,131.81526754697342,#DCD3CD
7,301,313,3,2,-38.724175359259476,#BAB0A9
8,831,746,5,2,80.26071104865079,#7D323A
9,125,733,3,2,-58.76368193494977,#BAB0A9
10,458,739,5,2,-45.052782997285334,#321719
11,689,254,3,2,76.91913732485175,#DCD3CD
12,523,592,7,2,165.2272785645951,#150F0C
13,846,601,2,2,-48.60101675320291,#AFA59E
14,461,270,8,2,108.1730301416529,#9A6659
15,818,390,2,2,22.5725700960715,#D3CAC5
16,697,442,9,2,15.734215898182555,#DCD3CD
17,101,347,3,2,19.268770194802784,#CAA19F
18,159,75,3,2,23.700300480064712,#DCD3CD
19,953,148,2,2,109.6262325880523,#BAB0A9
20,660,547,5,2,81.40956474819417,#7D3F29
21,176,183,3,2,48.09417822935653,#DCB9A2
22,151,568,3,2,-60.295433903821134,#AFA59E
23,858,327,3,2,71.60198365583008,#D3C8AC
24,430,110,11,2,-33.256951416815,#5D3C31
25,355,22,3,2,52.60515492560212,#D3CAC5
26,456,49,3,2,50.2604268416124,#D3CAC5
27,688,235,3,2,63.393190304852226,#DCD2B3
28,169,635,3,2,-65.42446541029906,#AFA59E
29,581,737,7,2,263.4595190645468,#343640
30,159,19,3,2,80.58774692117609,#CAC09F
31,19,18,3,2,78.03145689113926,#DCD3CD
32,840,529,3,2,51.91601332175304,#DCB9A2
33,558,611,6,2,134.84919363001157,#7D323A
34,585,405,3,2,199.4906782688543,#150F0C
35,484,508,3,2,215.55242848396728,#BA9B85
36,365,280,9,2,-86.06039450354629,#423319
37,474,726,5,2,17.96682606260967,#150C0F
38,402,578,4,2,114.75698601810424,#150F0C
39,155,380,3,2,-40.370196285326244,#BAB0A9
40,798,585,7,2,66.38961592547088,#7D323A
41,743,349,2,2,14.16366897086533,#DCD3CD
42,304,274,3,2,-25.611746919346885,#CAC09F
43,885,532,3,2,21.029743181642445,#DCD3CD
44,265,109,3,2,26.438351761279378,#D3CAC5
45,483,509,3,2,199.2624656172154,#AF917C
46,771,166,2,2,186.29777083954963,#D3CAC5
47,334,230,4,2,41.980436363869345,#DCB4B3
48,965,737,3,2,35.84310609620351,#DCD3CD
49,818,449,3,2,110.12761165924434,#DCD3CD
