EllipseID,X,Y,Length,StrokeScale,Angle,color
1,563,168,3,1,-24.113971077909554,#D1A48C
2,130,425,1,1,266.95832503743827,#BB6AB6
3,677,98,1,1,263.3804362545633,#C2BB83
4,495,490,2,1,-12.420884542942417,#040235
5,278,476,4,1,-26.507336945483857,#B5CDED
6,17,421,1,1,21.452432391731634,#DFD088
7,294,453,5,1,262.2011205436835,#B290B7
8,192,463,4,1,134.35287365790523,#9B6B86
9,289,394,4,1,171.06184766405335,#B7A6B3
10,338,692,2,1,20.451966923419548,#8C5E66
11,601,86,1,1,-72.35352246620369,#A67392
12,66,128,2,1,-18.54850012172902,#C0B7D4
13,187,505,4,1,135.0808965529435,#C28D83
14,0,289,2,1,24.342626404132304,#B7A6B3
15,37,165,1,1,51.236301230922024,#D1C5A5
16,726,131,2,1,-86.48431492841209,#DFD088
17,636,585,2,1,-32.69330775404221,#A67392
18,307,241,3,1,-80.34985134492055,#D1D3ED
19,338,455,2,1,201.1436050544388,#BB5C92
20,674,277,2,1,18.443597041908077,#D1C5A5
21,619,454,2,1,-57.190647704181885,#B19A88
22,100,647,1,1,269.5439203544768,#9B7D83
23,591,219,4,1,150.1907471939091,#A6808A
24,140,590,2,1,15.080124436298263,#A67392
25,712,519,2,1,28.350461497926872,#B1A573
26,197,642,2,1,245.52188955323345,#B290B7
27,723,45,1,1,-52.74235961721507,#C0B7D4
28,118,639,1,1,-42.00665173171029,#B19A88
29,13,486,2,1,-23.1266189463403,#D1C5A5
30,232,623,3,1,-82.42339413053656,#BB5C92
31,182,311,3,1,-63.93764800685065,#D1A48C
32,209,680,3,1,-68.25872948411157,#B290B7
33,121,703,2,1,-17.25196276183894,#B290B7
34,481,624,2,1,-79.28278970325229,#040235
35,714,56,2,1,-58.306328797922305,#DFD088
36,375,119,4,1,209.41045763600835,#9EA1D4
37,228,518,3,1,43.59698905399364,#C6B5ED
38,133,487,2,1,-9.699891338687635,#B790A0
39,317,286,3,1,152.2408646475862,#061535
40,547,346,4,1,62.44322404619966,#9B7D83
41,403,620,2,1,13.398624000268995,#8C594D
42,320,93,3,1,239.0390641725497,#C6B5ED
43,430,72,1,1,-45.65492990223393,#DFD088
44,449,577,2,1,-54.817739177825956,#30172C
45,711,121,2,1,-82.35579164271866,#CBD18C
46,459,172,2,1,121.76888200908232,#9B5F6A
47,311,655,2,1,185.41779158021671,#C28D83
48,230,274,3,1,167.7460324823542,#DF2F7E
49,710,424,1,1,137.0361248393016,#A67392
50,203,104,2,1,72.92055605319645,#C0B7D4
51,708,132,2,1,-59.46507666919359,#C39ED4
52,556,282,3,1,-89.09731677075226,#0A0611
53,358,455,4,1,220.5124721838778,#C29E74
54,177,325,3,1,-68.36762551659257,#DFB899
55,39,94,1,1,50.02417228097902,#DFD088
56,673,426,1,1,-32.07057782379982,#A6808A
57,521,700,3,1,-3.9745305337613814,#BB80A2
58,462,143,3,1,193.2407781366111,#B17873
59,471,308,3,1,157.79316447924907,#281153
60,43,135,1,1,61.89532058338557,#D3DF99
61,467,214,3,1,160.9331608548186,#9B5F6A
62,355,190,5,1,234.79259769267813,#0C0911
63,285,454,2,1,-81.01710035438134,#B19A88
64,248,40,1,1,53.08009444206501,#D1C5A5
65,305,661,2,1,143.62698904184776,#B5CDED
66,461,37,1,1,40.123714492097236,#DFB899
67,703,420,1,1,221.57660117821507,#C28D83
68,543,579,3,1,80.75834755897925,#2F4E75
69,246,125,1,1,22.398100328316573,#DFD7B3
70,446,489,2,1,262.7138740176217,#0A0611
71,246,96,2,1,132.35245591860541,#B5CDED
72,632,376,2,1,-33.879409276225616,#B19A88
73,8,39,2,1,113.70249689178038,#DFD7B3
