EllipseID,X,Y,Length,StrokeScale,Angle,color
1,180,29,1,1,142.0456632122728,#C7BC9B
2,57,10,1,1,66.6096559966183,#9F9596
3,26,171,7,1,-15.697426196687871,#493C37
4,51,168,4,1,-59.55584978055984,#492E30
5,106,54,4,1,126.37739968696451,#642E13
6,81,26,3,1,109.2252997436835,#1E1A1A
7,87,38,4,1,-56.51334853160975,#604332
8,183,125,2,1,237.55264387576628,#FEEBE0
9,144,10,1,1,72.51828942883702,#9F9596
10,31,145,2,1,255.32072485785068,#FEFEFE
11,51,191,3,1,208.20903237856584,#945B34
12,164,13,1,1,164.49635778055918,#9F9596
13,34,146,1,1,207.94018404625268,#FEFEFE
14,67,156,4,1,100.50950569039284,#131214
15,36,146,2,1,262.30018417482194,#FEFEFE
16,130,66,4,1,145.64095131418645,#72472A
17,68,58,3,1,147.3693173350731,#131214
18,161,139,2,1,14.338579966341783,#FEFEFE
19,130,0,1,1,252.90760657526837,#9F7679
20,10,158,3,1,145.12372422865351,#EFCFDB
21,181,32,2,1,18.943356520114975,#9F9596
22,7,50,1,1,184.60374932455784,#EFEBEE
23,107,26,3,1,49.533454521545934,#642E13
24,81,47,3,1,-41.57703963253499,#1E1414
25,145,84,8,1,262.4731253938692,#2C1B17
26,103,48,2,1,38.64438820061753,#1E1619
27,89,80,5,1,178.19770540623887,#7C421C
28,49,146,6,1,-72.42229370650563,#BB9D8C
29,33,92,8,1,256.13558423322974,#FEE0EB
30,90,149,2,1,244.87036431042574,#875B3F
31,163,12,1,1,-16.128630409284696,#BB9D8C
32,108,115,5,1,181.24537384237652,#72472A
33,11,113,1,1,90.0,#FEFEFE
34,121,93,3,1,23.62854178654696,#87712F
35,127,73,5,1,16.23756421939126,#502512
36,108,107,2,1,166.2227647883301,#493F2E
37,49,39,8,1,-73.28678627671843,#9D694C
38,139,13,2,1,213.49350946047403,#9F9596
39,128,149,3,1,88.60692365976921,#1E1414
40,99,163,2,1,251.654668201748,#642E13
41,144,178,6,1,-87.14542110469515,#502512
42,124,72,4,1,13.444252902930515,#723914
43,92,179,2,1,244.15642061669953,#493C37
44,102,22,4,1,-15.870849817024975,#2C241B
45,57,113,3,1,206.93710112362857,#110E14
46,52,131,6,1,254.09120035108577,#87712F
47,37,144,2,1,-82.57949677845573,#EFEBEE
48,160,160,8,1,8.51081292315611,#744A4A
49,146,60,4,1,18.004043568000583,#2C1B17
50,105,152,2,1,256.29901031524895,#72472A
51,182,78,1,1,112.99248173926047,#9F828F
52,141,52,4,1,-89.00536171218863,#9D5959
53,162,22,1,1,102.54578847062898,#9F9596
54,133,166,4,1,81.50244178368963,#1E1916
55,142,47,4,1,59.015237882797145,#874C25
56,116,120,4,1,-47.35107069554343,#60563A
57,156,68,7,1,79.35853525760434,#946B51
58,17,133,3,1,-88.48193123659368,#FEFEFE
59,29,34,1,1,260.8630029783112,#FEE0EB
60,42,165,8,1,-26.527423162436165,#7C5034
61,107,63,4,1,162.84665542942975,#87312F
62,175,116,1,1,247.57194279892062,#FEFEFE
63,150,185,2,1,231.27949782858988,#110E14
64,184,61,1,1,141.39724193024838,#9F828F
65,89,187,2,1,246.83116405538814,#87312F
66,65,72,3,1,222.07356786518724,#72472A
67,39,83,6,1,-85.77889883725865,#1E1619
68,56,131,3,1,266.92044600883787,#1E1A1A
69,119,184,4,1,238.33872407049475,#604332
70,53,112,3,1,240.5624183655508,#3A2B27
71,0,122,1,1,90.0,#FEFEFE
72,179,76,1,1,98.7021288768755,#BB9D8C
73,20,57,1,1,238.59901409605177,#FEEBE0
74,34,56,1,1,256.69112573199766,#FEFEFE
75,96,138,2,1,-30.95859641838068,#946B51
76,25,140,3,1,101.46054270643494,#FEFEFE
77,169,47,2,1,-7.877700898860908,#9F9596
78,161,150,3,1,149.36553995814808,#ECCFEF
